time,x_m,y_m
1777723885.063,7500.000,1099.900
1777723886.063,7500.000,1111.000
1777723887.063,7500.000,1122.100
1777723888.063,7500.000,1133.200
1777723889.063,7500.000,1144.300
1777723890.063,7500.000,1155.400
1777723891.063,7500.000,1166.500
1777723892.063,7500.000,1177.600
1777723893.063,7500.000,1188.700
1777723894.063,7500.000,1199.800
1777723895.063,7500.000,1210.900
1777723896.063,7500.000,1222.000
1777723897.063,7500.000,1233.100
1777723898.063,7500.000,1244.200
1777723899.063,7500.000,1255.300
1777723900.063,7500.000,1266.400
1777723901.063,7500.000,1277.500
1777723902.063,7500.000,1288.600
1777723903.063,7500.000,1299.700
1777723904.063,7500.000,1310.800
1777723905.063,7500.000,1321.900
1777723906.063,7500.000,1333.000
1777723907.063,7500.000,1344.100
1777723908.063,7500.000,1355.200
1777723909.063,7500.000,1366.300
1777723910.063,7500.000,1377.400
1777723911.063,7500.000,1388.500
1777723912.063,7500.000,1399.600
1777723913.063,7500.000,1410.700
1777723914.063,7500.000,1421.800
1777723915.063,7500.000,1432.900
1777723916.063,7500.000,1444.000
1777723917.063,7500.000,1455.100
1777723918.063,7500.000,1477.300
1777723919.063,7500.000,1488.400
1777723920.063,7500.000,1499.500
1777723921.063,7500.000,1510.600
1777723922.063,7500.000,1521.700
1777723923.063,7500.000,1532.800
1777723924.063,7500.000,1543.900
1777723925.063,7500.000,1555.000
1777723926.063,7500.000,1566.100
1777723927.063,7500.000,1577.200
1777723928.063,7500.000,1588.300
1777723929.063,7500.000,1599.400
1777723930.063,7500.000,1610.500
1777723931.063,7500.000,1621.600
1777723932.063,7500.000,1632.700
1777723933.063,7500.000,1643.800
1777723934.063,7500.000,1654.900
1777723935.063,7500.000,1666.000
1777723936.063,7500.000,1677.100
1777723937.063,7500.000,1688.200
1777723938.063,7500.000,1699.300
1777723939.063,7500.000,1710.400
1777723940.063,7500.000,1721.500
1777723941.063,7500.000,1732.600
1777723942.063,14000.000,1000.000
1777723943.063,14000.000,1000.000
1777723944.063,14000.000,1000.000
